recipe_title,category,subcategory,ingredients,directions,num_ingredients,num_steps,normalized_recipe_name,clean_ingredients,core_ingredients_for_similarity,clean_ingredient_count,core_ingredient_count,direction_text,action_sequence,mean_similarity_to_dataset,mean_ingredient_similarity_to_dataset,mean_process_similarity_to_dataset
Lemony Cucumbers,Low Calorie,Low-Calorie Salads,"[""2 cucumbers, sliced"", ""\u00bc cup white wine vinegar"", ""2 tablespoons chopped onion"", ""2 tablespoons white sugar"", ""1 tablespoon lemon juice"", ""2 teaspoons celery seeds"", ""\u00be teaspoon salt"", ""\u215b teaspoon ground black pepper""]","[""Toss cucumbers, vinegar, chopped onion, sugar, lemon juice, celery seeds, salt, and black pepper in a bowl until combined; cover. Chill in the refrigerator, 4 hours.""]",8,1,lemony cucumbers,"[""cucumber"", ""white wine vinegar"", ""onion"", ""white sugar"", ""lemon juice"", ""celery seed"", ""salt"", ""black pepper""]","[""cucumber"", ""white wine vinegar"", ""onion"", ""white sugar"", ""celery seed""]",8,5,"Toss cucumbers, vinegar, chopped onion, sugar, lemon juice, celery seeds, salt, and black pepper in a bowl until combined; cover. Chill in the refrigerator, 4 hours.","[""cover"", ""chill""]",0.4543377,0.5180765,0.09315103
Fresh Frozen Cucumbers,Low Calorie,Low-Calorie Salads,"[""2 large cucumbers, thinly sliced"", ""2 tablespoons salt"", ""1 \u00bd cups white sugar"", ""1 \u00bd cups distilled white vinegar""]","[""Place cucumbers into a large bowl and sprinkle with salt. Cover and refrigerate for 24 hours."", ""Rinse and drain cucumbers, pressing out as much water as possible. Place cucumbers back into the bowl and stir in sugar and vinegar until well combined. Cover and refrigerate for 24 more hours. Transfer to a freezer container and freeze.""]",4,2,fresh frozen cucumbers,"[""cucumber"", ""salt"", ""white sugar"", ""distilled white vinegar""]","[""cucumber"", ""white sugar"", ""distilled white vinegar""]",4,3,"Place cucumbers into a large bowl and sprinkle with salt. Cover and refrigerate for 24 hours. Rinse and drain cucumbers, pressing out as much water as possible. Place cucumbers back into the bowl and stir in sugar and vinegar until well combined. Cover and refrigerate for 24 more hours. Transfer to a freezer container and freeze.","[""place"", ""cover"", ""drain"", ""place"", ""cover"", ""transfer""]",0.44863263,0.5081767,0.11121608
Tomato Cucumber Onion Salad,Paleo,Paleo Salads,"[""1 cup diced cucumber"", ""1 cup diced fresh tomato"", ""\u00bd cup olive oil"", ""\u00bd cup red wine vinegar"", ""\u00bc cup diced red onion"", ""1 teaspoon white pepper"", ""1 teaspoon salt, or to taste""]","[""Toss together cucumber, tomato, olive oil, red wine vinegar, red onion, and white pepper in a large serving bowl; season with salt. Refrigerate until slightly chilled, 10 to 15 minutes.""]",7,1,tomato cucumber onion salad,"[""cucumber"", ""tomato"", ""olive oil"", ""red wine vinegar"", ""onion"", ""white pepper"", ""salt""]","[""cucumber"", ""tomato"", ""red wine vinegar"", ""onion"", ""white pepper""]",7,5,"Toss together cucumber, tomato, olive oil, red wine vinegar, red onion, and white pepper in a large serving bowl; season with salt. Refrigerate until slightly chilled, 10 to 15 minutes.","[""season"", ""chill""]",0.43415853,0.49348375,0.09798279
Corn Salad,Low Sodium,Low-Sodium Salads,"[""1 (10 ounce) package frozen whole-kernel corn, thawed"", ""\u00bc cup diced yellow bell pepper"", ""\u00bc cup diced red bell pepper"", ""\u00bc cup diced green bell pepper"", ""\u00bd red onion, chopped"", ""\u00bc cup chopped cucumber"", ""1 small tomato, chopped"", ""\u00bd cup mayonnaise, or to taste"", ""salt and freshly ground black pepper, to taste""]","[""Place corn, yellow pepper, red pepper, green pepper, red onion, cucumber, and tomato in a large bowl. Add just the amount of mayonnaise to your liking; mix well to combine. Season to taste with salt and pepper; chill until serving.""]",9,1,corn salad,"[""whole kernel corn"", ""bell pepper"", ""onion"", ""cucumber"", ""tomato"", ""mayonnaise"", ""salt freshly black pepper""]","[""whole kernel corn"", ""bell pepper"", ""onion"", ""cucumber"", ""tomato""]",7,5,"Place corn, yellow pepper, red pepper, green pepper, red onion, cucumber, and tomato in a large bowl. Add just the amount of mayonnaise to your liking; mix well to combine. Season to taste with salt and pepper; chill until serving.","[""place"", ""add"", ""chill""]",0.4321284,0.49348375,0.08444848
Summer Radish Salad,Healthy Recipes,Low-Potassium Recipes,"[""2 cups sliced radishes"", ""\u00bd teaspoon salt"", ""1 cup sliced red onion"", ""1 cup seeded and sliced cucumber"", ""\u00bd cup extra virgin olive oil, or to taste"", ""2 tablespoons white wine vinegar, or to taste"", ""1 teaspoon chopped fresh dill"", ""1 clove garlic, minced"", ""\u00bd teaspoon white sugar, or to taste""]","[""Toss radishes with salt; let stand for about 10 minutes. Drain any liquid and transfer radishes to a large bowl; add red onion and cucumber slices."", ""Whisk olive oil, vinegar, dill, garlic, and sugar together in a small bowl until well mixed; pour over vegetables and toss to combine. Cover and refrigerate for at least 1 hour before serving.""]",9,2,summer radish salad,"[""radish"", ""salt"", ""onion"", ""cucumber"", ""olive oil"", ""white wine vinegar"", ""dill"", ""garlic"", ""white sugar""]","[""radish"", ""onion"", ""cucumber"", ""white wine vinegar"", ""dill"", ""white sugar""]",9,6,"Toss radishes with salt; let stand for about 10 minutes. Drain any liquid and transfer radishes to a large bowl; add red onion and cucumber slices. Whisk olive oil, vinegar, dill, garlic, and sugar together in a small bowl until well mixed; pour over vegetables and toss to combine. Cover and refrigerate for at least 1 hour before serving.","[""toss"", ""add"", ""combine"", ""cover""]",0.43115786,0.48762536,0.111175716
"Cucumber, Tomato, and Red Onion Salad",Healthy Recipes,Healthy Salads,"[""4 tomatoes, cut into 8 wedges"", ""2 large cucumbers, peeled and sliced"", ""1 large red onion, chopped"", ""\u00bc cup chopped fresh cilantro"", ""1 lime, juiced"", ""salt to taste""]","[""Mix tomatoes, cucumbers, red onion, cilantro, and lime juice together in a bowl. Season with salt and serve.""]",6,1,cucumber tomato and red onion salad,"[""tomato"", ""cucumber"", ""onion"", ""coriander"", ""lime"", ""salt""]","[""tomato"", ""cucumber"", ""onion"", ""coriander"", ""lime""]",6,5,"Mix tomatoes, cucumbers, red onion, cilantro, and lime juice together in a bowl. Season with salt and serve.","[""mix"", ""season""]",0.42529333,0.48383462,0.09355945
Tomato and Pepper Salad,Low Calorie,Low-Calorie Salads,"[""3 medium tomatoes, chopped"", ""1 large cucumber, seeded and chopped"", ""1 medium green bell pepper, chopped"", ""1 stalk celery, thinly sliced"", ""3 tablespoons distilled white vinegar"", ""1 tablespoon white sugar"", ""\u00bd teaspoon salt"", ""freshly ground black pepper to taste""]","[""Combine tomatoes, cucumber, green bell pepper, and celery in a bowl."", ""Mix vinegar, sugar, salt, and pepper in a separate bowl and pour over salad. Gently toss to coat."", ""Cover and refrigerate at least 2 hours, stirring occasionally.""]",8,3,tomato and pepper salad,"[""tomato"", ""cucumber"", ""bell pepper"", ""celery"", ""distilled white vinegar"", ""white sugar"", ""salt"", ""freshly black pepper""]","[""tomato"", ""cucumber"", ""bell pepper"", ""celery"", ""distilled white vinegar"", ""white sugar""]",8,6,"Combine tomatoes, cucumber, green bell pepper, and celery in a bowl. Mix vinegar, sugar, salt, and pepper in a separate bowl and pour over salad. Gently toss to coat. Cover and refrigerate at least 2 hours, stirring occasionally.","[""combine"", ""mix"", ""coat"", ""cover""]",0.41704577,0.46782583,0.12929218
Mostaccioli Salad,Pasta Salads,Cucumber Pasta Salad,"[""1 (16 ounce) package mostaccioli pasta"", ""1 tablespoon vegetable oil"", ""1 \u00bd cups distilled white vinegar"", ""1 \u00bd cups white sugar"", ""1 medium onion, chopped"", ""1 medium cucumber, chopped"", ""1 (4 ounce) jar chopped pimento"", ""2 teaspoons prepared yellow mustard"", ""1 tablespoon garlic powder"", ""1 tablespoon parsley flakes"", ""1 teaspoon salt"", ""1 teaspoon ground black pepper""]","[""Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain."", ""In a large bowl, gently toss together the pasta, oil, vinegar, sugar, onion, cucumber, pimento, mustard, garlic powder, parsley flakes, salt, and pepper. Cover, and refrigerate 24 hours before serving.""]",12,2,mostaccioli salad,"[""mostaccioli pasta"", ""vegetable oil"", ""distilled white vinegar"", ""white sugar"", ""onion"", ""cucumber"", ""pimento"", ""prepared yellow mustard"", ""garlic powder"", ""parsley flak"", ""salt"", ""black pepper""]","[""mostaccioli pasta"", ""distilled white vinegar"", ""white sugar"", ""onion"", ""cucumber"", ""pimento"", ""prepared yellow mustard"", ""parsley flak""]",12,8,"Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain. In a large bowl, gently toss together the pasta, oil, vinegar, sugar, onion, cucumber, pimento, mustard, garlic powder, parsley flakes, salt, and pepper. Cover, and refrigerate 24 hours before serving.","[""boil"", ""add"", ""toss"", ""cover""]",0.4160056,0.47092733,0.1047825
Cucumber Pasta Salad,Pasta Salads,Cucumber Pasta Salad,"[""1 (8 ounce) package bow-tie pasta"", ""1 large cucumber, thinly sliced"", ""1 large onion, thinly sliced"", ""1 \u00bd teaspoons dried dill"", ""\u00be cup white vinegar"", ""1 cup white sugar"", ""1 cup water"", ""1 tablespoon vegetable oil"", ""1 tablespoon prepared mustard"", ""\u00bd teaspoon salt"", ""\u00bd teaspoon ground black pepper""]","[""Bring a large pot of lightly salted water to a boil. Cook pasta at a boil, stirring occasionally, until cooked through yet firm to the bite, about 12 minutes. Drain and rinse several times with cold water until pasta is cool."", ""Stir pasta, cucumber, onion, and dill in a salad bowl."", ""Whisk vinegar, sugar, water, vegetable oil, mustard, salt, and black pepper in a separate bowl until sugar and salt have dissolved. Pour dressing over pasta mixture and toss lightly to coat with dressing. Let chill for 2 hours before serving.""]",11,3,cucumber pasta salad,"[""bow tie pasta"", ""cucumber"", ""onion"", ""dill"", ""white vinegar"", ""white sugar"", ""water"", ""vegetable oil"", ""prepared mustard"", ""salt"", ""black pepper""]","[""bow tie pasta"", ""cucumber"", ""onion"", ""dill"", ""white vinegar"", ""white sugar"", ""prepared mustard""]",11,7,"Bring a large pot of lightly salted water to a boil. Cook pasta at a boil, stirring occasionally, until cooked through yet firm to the bite, about 12 minutes. Drain and rinse several times with cold water until pasta is cool. Stir pasta, cucumber, onion, and dill in a salad bowl. Whisk vinegar, sugar, water, vegetable oil, mustard, salt, and black pepper in a separate bowl until sugar and salt have dissolved. Pour dressing over pasta mixture and toss lightly to coat with dressing. Let chill for 2 hours before serving.","[""boil"", ""boil"", ""drain"", ""stir"", ""whisk"", ""coat"", ""chill""]",0.4134837,0.4684524,0.101994425
Cucumber Salad With Sour Cream,Labor Day,Labor Day Salads,"[""2 cucumbers, thinly sliced"", ""1 (8 ounce) container sour cream"", ""\u2153 cup white sugar, or to taste"", ""\u00bc cup distilled white vinegar"", ""salt and ground black pepper to taste""]","[""Place cucumber slices in a container and cover with cold water. Refrigerate 4 hours to overnight."", ""Whisk sour cream, sugar, vinegar, and salt together in a large bowl until sugar dissolves."", ""Drain cucumbers well and pat dry with paper towels. Add cucumbers to sour cream dressing and toss to coat.""]",5,3,cucumber salad with sour cream,"[""cucumber"", ""container sour cream"", ""white sugar"", ""distilled white vinegar"", ""salt black pepper""]","[""cucumber"", ""container sour cream"", ""white sugar"", ""distilled white vinegar""]",5,4,"Place cucumber slices in a container and cover with cold water. Refrigerate 4 hours to overnight. Whisk sour cream, sugar, vinegar, and salt together in a large bowl until sugar dissolves. Drain cucumbers well and pat dry with paper towels. Add cucumbers to sour cream dressing and toss to coat.","[""cover"", ""refrigerate"", ""whisk"", ""drain"", ""add""]",0.38628742,0.43580827,0.10566921
